ID_HARGA;KODE_JASA;CAKUPAN;VIA;TIPE;HARGA INDAH ONLINE;HARGA PKS;ASAL;TUJUAN;WILAYAH;UPDATE;JENIS;VARIAN;LEAD_TIME;KODE_NEGARA;SIMBOL;NILAI_TUKAR;DISKON;
1;1;;DARAT;BL;11312;8000;KUDUS;BANDA ACEH;"Kec. Kuta Alam; Kec.Banda Raya ; kec.syiah kuala; kec.Baiturrahman, kota banda aceh; Kec. Darussalam Kab. Aceh besar; kec. Mesjid raya kab. Aceh besar; Kec. Ulee Kareng";04/01/2023;BERAT;>10;6-7;ID;Rp;1;29,278642149929%;
1;1;;DARAT;BL;9292;6500;KUDUS;BANDAR JAYA;Kec. Bandar Mataram Kab. Lampung Tengah (pengantaran terjadwal Senin & Kamis);22/12/2022;BERAT;>10;5-6;ID;Rp;1;30,047352561343%;
1;1;;DARAT;BL;3636;2500;PAMR;BANDUNG;;;BERAT;>10;2-3;ID;Rp;1;31,243124312431%;
1;1;;LAUT;BL;9292;8000;KUDUS;BANGGAI;"Kec.banggai, Kab.banggai laut;";21/09/2022;BERAT;>10;12-14;ID;Rp;1;13,904433921653%;
1;1;;LAUT;BL;14140;13000;KUDUS;BANGKA (KOTA);;;BERAT;>10;17-18;ID;Rp;1;8,062234794908%;
1;1;;LAUT;BL;17372;15000;KUDUS;BANGKA TENGAH;;;BERAT;>10;17-18;ID;Rp;1;13,654156113286%;
1;1;;DARAT;BL;6060;2000;KUDUS;BANGKALAN;"kec, tragah;";14/11/2022;BERAT;>10;3-4;ID;Rp;1;66,996699669967%;
1;1;;LAUT;BL;14948;9500;KUDUS;BANGKAMULYA;;;BERAT;>10;7-8;ID;Rp;1;36,446347337436%;
1;1;;DARAT;BL;10080;7000;KUDUS;BANGKINANG;;;BERAT;>10;3-4;ID;Rp;1;30,555555555556%;
1;1;;DARAT;BL;8888;6000;KUDUS;BANGKO (JAMBI);"Kec.tabir selatan, kab. Merangin ;";10/09/2022;BERAT;>10;6-7;ID;Rp;1;32,493249324933%;
1;1;;DARAT;BL;6846;3000;KUDUS;BANGLI;;;BERAT;>10;3-4;ID;Rp;1;56,178790534619%;
1;1;;DARAT;BL;3636;2500;KUDUS;BANJARAN;;;BERAT;>10;2-3;ID;Rp;1;31,243124312431%;
1;1;;LAUT;BL;10908;5000;KUDUS;BANJARBARU;Kec. Banjarbaru Selatan;26/7/2022;BERAT;>10;7-8;ID;Rp;1;54,162082874954%;
1;1;;LAUT;BL;7676;4000;KUDUS;BANJARMASIN;"Kec. Gambut Kab. Banjar; Kec.Banjarmasin Timur; Kec. Banjarmasin Tengah; Kec. Banjarmasin Barat;";29/11/2022;BERAT;>10;7-8;ID;Rp;1;47,889525794685%;
1;1;;DARAT;BL;5656;2500;KUDUS;BANJARNEGARA;;;BERAT;>10;2-3;ID;Rp;1;55,799151343706%;
1;1;;LAUT;BL;10908;7000;KUDUS;BANTAENG;"kec. Bangkala, kab. Jeneponto; kec. Bantaeng; Kec. Bissappu Kab. Bantaeng";23/12/2022;BERAT;>10;9-11;ID;Rp;1;35,826916024936%;
1;1;;DARAT;BL;3232;2000;KUDUS;BANTUL;Kec. Banguntapan;20/12/2022;BERAT;>10;2-3;ID;Rp;1;38,118811881188%;
